상품번호,이름,연식,주행거리,차량번호,지역,현재가격,원래가격,할인금액,최초등록,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,변속기,압류,저당,내차피해,소유자 변경,옵션정보,배터리 용량(kWh),축전지 정격전압/용량(v/Ah),최고출력(kW),최대토크(Nm),복합(km/kWh),도심(km/kWh),고속도로(km/kWh)
GJX241211011006,2022 GV80 가솔린 2.5 터보 AWD 6인승 시그니처 디자인 셀렉션Ⅱ,2022년,"38,636km",131소5998,용인,"6,370
만원",,,2022.02.27,가솔린,"2,497cc",우유니 화이트,브라운/베이지 투톤(올리브 애쉬),SUV,6인승,AWD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HOS241126010697,2023 코나(OS) 하이브리드 모던,2022년,"12,884km",112서2624,양산,"2,770
만원",,,2022.09.15,하이브리드,"1,580cc",아틀라스 화이트,블랙,SUV,5인승,2WD,자동 (DCT),없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '미포함', '전동식 트렁크': '미포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '미포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ240620006900,2022 G80 가솔린 2.5 터보 2WD 스탠다드 디자인,2022년,"34,968km",228더8148,용인,"4,390
만원","4,640
만원","250
만원 할인",2022.05.02,가솔린,"2,497cc",비크 블랙,블랙모노톤,승용,5인승,2WD,자동,없음,없음,1건,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '미포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJV241217011109,2022 Electrified GV70 AWD 스탠다드 디자인,2022년,"18,717km",40구5211,용인,"5,600
만원",,,2022.06.28,전기,-,우유니 화이트,블랙모노톤,EV,5인승,AWD,,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",77.4,697.0/111.2,320.0,700.0,400.0,,
HTM240820008420,2021 싼타페(TM) 디젤 2.2 2WD 5인승 프레스티지,2021년,"15,475km",107소7363,양산,"3,100
만원","3,300
만원","200
만원 할인",2021.02.08,디젤,"2,151cc",크리미 화이트 펄,블랙모노톤,SUV,5인승,2WD,자동 (DCT),없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '미포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HMX241107010292,2024 싼타페(MX5) 가솔린 2.5 터보 2WD 7인승 캘리그래피,2023년,"21,795km",235우3644,용인,"4,130
만원",,,2023.08.20,가솔린,"2,497cc",어비스블랙펄,라이트베이지투톤(캘리그래피),SUV,7인승,2WD,자동 (DCT),없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HLX240724007945,2023 팰리세이드(LX2) 가솔린 3.8 AWD 7인승 캘리그래피,2022년,"13,005km",323머3106,용인,"4,500
만원","4,800
만원","300
만원 할인",2022.06.23,가솔린,"3,778cc",크리미 화이트 펄,브라운,SUV,7인승,AWD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJX240910008847,2020 GV80 가솔린 3.5 터보 AWD 5인승 시그니처 디자인 셀렉션Ⅱ,2020년,"43,867km",171노9367,용인,"5,610
만원","5,860
만원","250
만원 할인",2020.07.12,가솔린,"3,470cc",브런즈윅 그린(무광),블루/듄 베이지 투톤(올리브애쉬),SUV,5인승,AWD,자동,없음,없음,1건,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJX241223011159,2024 GV80 가솔린 2.5 터보 AWD 5인승 스탠다드 디자인,2024년,"27,931km",278나7720,양산,"6,520
만원",,,2024.04.18,가솔린,"2,497cc",마칼루 그레이,스모키그린/어스브라운,SUV,5인승,AWD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJX241014009576,2023 GV80 가솔린 2.5 터보 AWD 5인승 시그니처 디자인 셀렉션Ⅱ,2023년,"29,212km",228너7066,용인,"6,150
만원",,,2023.04.26,가솔린,"2,497cc",카디프 그린,브라운/베이지 투톤(메탈릭 포어 필),SUV,5인승,AWD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ241004009438,2022 G80 가솔린 2.5 터보 AWD 시그니처 디자인 셀렉션Ⅱ,2021년,"90,427km",161어9739,양산,"4,410
만원",,,2021.09.15,가솔린,"2,497cc",우유니 화이트,바닐라 베이지(애쉬 메탈릭 그라데이션),승용,5인승,AWD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ240919008986,2022 G80 가솔린 2.5 터보 AWD 스탠다드 디자인,2022년,"21,953km",368마6594,양산,"4,990
만원","5,390
만원","400
만원 할인",2022.09.15,가솔린,"2,497cc",마칼루 그레이,블랙모노톤,승용,5인승,AWD,자동,없음,없음,1건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ241111010369,2021 G80 가솔린 2.5 터보 AWD 스탠다드 디자인,2020년,"40,494km",334구2933,군산,"4,190
만원",,,2020.10.22,가솔린,"2,497cc",카본 메탈,블랙모노톤,승용,5인승,AWD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '미포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HGN240815008283,2023 그랜저(GN7) 가솔린 3.5 AWD 캘리그래피,2023년,"5,952km",249조9125,양산,"4,310
만원","4,660
만원","350
만원 할인",2023.11.05,가솔린,"3,470cc",어비스블랙펄,인디고/그레이투톤(캘리그래피),승용,5인승,AWD,자동,없음,없음,1건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HCN241031010100,2023 아반떼(CN7) 하이브리드 모던,2023년,"76,209km",159누6766,양산,"2,200
만원",,,2023.04.03,하이브리드,"1,580cc",아틀라스 화이트,블랙모노톤,승용,5인승,2WD,자동 (DCT),없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '미포함', '열선 스티어링 휠': '포함', '열선 시트 (1열)': '포함', '통풍시트(1열)': '포함', '전동 시트 (운전석)': '미포함', '가죽 시트': '미포함', '전동식 트렁크': '미포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '미포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ240930009281,2021 G80 가솔린 3.5 터보 AWD 시그니처 디자인 셀렉션Ⅱ,2020년,"79,876km",164더8849,양산,"4,150
만원",,,2020.07.16,가솔린,"3,470cc",비크 블랙,블랙모노톤(애쉬 칼라 그라데이션),승용,5인승,AWD,자동,없음,없음,1건,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJX240910008842,2020 GV80 가솔린 3.5 터보 AWD 5인승 시그니처 디자인 셀렉션Ⅱ,2020년,"93,736km",287라2831,용인,"4,860
만원","5,110
만원","250
만원 할인",2020.08.24,가솔린,"3,470cc",비크 블랙,블루/듄 베이지 투톤(버취),SUV,5인승,AWD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJX240927009089,2021 GV80 가솔린 3.5 터보 AWD 7인승 시그니처 디자인 셀렉션Ⅱ,2021년,"49,652km",192더7459,용인,"6,190
만원",,,2021.03.18,가솔린,"3,470cc",골드코스트 실버,블랙모노톤(블랙 애쉬),SUV,7인승,AWD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HCN241029010036,2023 아반떼(CN7) 하이브리드 모던,2022년,"12,760km",168머7348,양산,"2,340
만원",,,2022.08.17,하이브리드,"1,580cc",폴라 화이트,블랙모노톤,승용,5인승,2WD,자동 (DCT),없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '미포함', '열선 스티어링 휠': '포함', '열선 시트 (1열)': '포함', '통풍시트(1열)': '포함', '전동 시트 (운전석)': '미포함', '가죽 시트': '미포함', '전동식 트렁크': '미포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '미포함', '후방 모니터': '포함', '후측방 경보 시스템': '미포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '미포함'}",,,,,,,
HIG241125010626,2020 그랜저(IG) 가솔린 2.5 캘리그래피,2020년,"49,220km",377오5472,용인,"3,050
만원",,,2020.03.12,가솔린,"2,497cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJU240814008248,2021 G70 가솔린 2.0 터보 AWD 스포츠 스탠다드 디자인,2021년,"7,489km",352가1632,양산,"4,260
만원","4,510
만원","250
만원 할인",2021.05.24,가솔린,"1,998cc",태즈먼 블루,블랙/레드 투톤(레드시트),승용,5인승,AWD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJU241119010592,2021 G70 가솔린 2.0 터보 AWD 천연가죽 패키지,2021년,"19,755km",259가7322,용인,"3,660
만원",,,2021.04.01,가솔린,"1,998cc",우유니 화이트,벨벳버건디투톤(벨벳버건디시트),승용,5인승,AWD,자동,없음,없음,3건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '미포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HIG240905008763,2023 그랜저(IG) 하이브리드 르블랑,2022년,"23,321km",106저1868,양산,"3,650
만원","3,750
만원","100
만원 할인",2022.09.01,하이브리드,"2,359cc",세레니티 화이트 펄,블랙/베이지(베이지시트),승용,5인승,2WD,자동,없음,없음,1건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ241211010992,2022 G80 가솔린 2.5 터보 AWD 스탠다드 디자인,2021년,"46,285km",131소5991,용인,"4,060
만원",,,2021.10.11,가솔린,"2,497cc",비크 블랙,블랙모노톤,승용,5인승,AWD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '미포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ240415005478,2022 G80 가솔린 2.5 터보 AWD 스포츠 디자인 셀렉션,2022년,"16,819km",212라6316,용인,"5,950
만원","6,100
만원","150
만원 할인",2022.04.05,가솔린,"2,497cc",태즈먼 블루,바닐라 베이지 위빙,승용,5인승,AWD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HCN241030010073,2022 아반떼(CN7) 가솔린 1.6 인스퍼레이션,2021년,"6,531km",214거5033,양산,"2,230
만원",,,2021.11.16,가솔린,"1,598cc",팬텀 블랙 펄,블랙모노톤,승용,5인승,2WD,자동 (IVT),없음,없음,1건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동 시트 (운전석)': '포함', '가죽 시트': '포함', '전동식 트렁크': '미포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '미포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJP240819008358,2023 G90 가솔린 3.5 터보 AWD 4인승 스탠다드 디자인,2022년,"71,268km",389우6144,용인,"7,460
만원","7,860
만원","400
만원 할인",2022.12.04,가솔린,"3,470cc",비크 블랙,블랙/브라운,승용,4인승,AWD,자동,없음,없음,2건,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ240628007208,2021 G80 가솔린 3.5 터보 AWD 시그니처 디자인 셀렉션Ⅱ,2021년,"14,578km",215어5602,용인,"5,290
만원","5,590
만원","300
만원 할인",2021.04.12,가솔린,"3,470cc",비크 블랙,블랙모노톤(애쉬 메탈릭 그라데이션),승용,5인승,AWD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ240915008969,2021 G80 가솔린 3.5 터보 AWD 시그니처 디자인 셀렉션Ⅱ,2020년,"86,112km",256누7420,군산,"4,100
만원","4,300
만원","200
만원 할인",2020.05.24,가솔린,"3,470cc",태즈먼 블루,바닐라 베이지(유칼립투스),승용,5인승,AWD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
